Example app listening at http://localhost:3004
MongoDB connected...
INVESTOR ID:: 45  | ACTUAL WALLET AMOUNT:: 283.25  | WALLET AMOUNT:: 111.25  | DIFFERENCE:: 172.00
INVESTOR ID:: 46  | ACTUAL WALLET AMOUNT:: 765.29  | WALLET AMOUNT:: 117.78  | DIFFERENCE:: 647.51
INVESTOR ID:: 47  | ACTUAL WALLET AMOUNT:: 43.80  | WALLET AMOUNT:: 43.80  | DIFFERENCE:: 0.00
INVESTOR ID:: 48  | ACTUAL WALLET AMOUNT:: -2348.19  | WALLET AMOUNT:: 40.81  | DIFFERENCE:: -2389.00
INVESTOR ID:: 49  | ACTUAL WALLET AMOUNT:: 129.17  | WALLET AMOUNT:: 129.17  | DIFFERENCE:: 0.00
INVESTOR ID:: 50  | ACTUAL WALLET AMOUNT:: 82.61  | WALLET AMOUNT:: 82.61  | DIFFERENCE:: 0.00
INVESTOR ID:: 51  | ACTUAL WALLET AMOUNT:: 38.72  | WALLET AMOUNT:: 21.47  | DIFFERENCE:: 17.25
INVESTOR ID:: 52  | ACTUAL WALLET AMOUNT:: 579.41  | WALLET AMOUNT:: 564.54  | DIFFERENCE:: 14.87
INVESTOR ID:: 53  | ACTUAL WALLET AMOUNT:: 470.39  | WALLET AMOUNT:: 436.83  | DIFFERENCE:: 33.56
INVESTOR ID:: 54  | ACTUAL WALLET AMOUNT:: 1042.95  | WALLET AMOUNT:: 703.36  | DIFFERENCE:: 339.59
INVESTOR ID:: 55  | ACTUAL WALLET AMOUNT:: 500.18  | WALLET AMOUNT:: 475.88  | DIFFERENCE:: 24.30
INVESTOR ID:: 56  | ACTUAL WALLET AMOUNT:: 196.52  | WALLET AMOUNT:: 146.87  | DIFFERENCE:: 49.65
INVESTOR ID:: 57  | ACTUAL WALLET AMOUNT:: 1347.05  | WALLET AMOUNT:: 1020.83  | DIFFERENCE:: 326.22
INVESTOR ID:: 58  | ACTUAL WALLET AMOUNT:: 170.75  | WALLET AMOUNT:: 170.75  | DIFFERENCE:: 0.00
INVESTOR ID:: 59  | ACTUAL WALLET AMOUNT:: 155.38  | WALLET AMOUNT:: 155.38  | DIFFERENCE:: 0.00
INVESTOR ID:: 60  | ACTUAL WALLET AMOUNT:: 26.69  | WALLET AMOUNT:: 26.69  | DIFFERENCE:: 0.00
INVESTOR ID:: 61  | ACTUAL WALLET AMOUNT:: 91.09  | WALLET AMOUNT:: 91.09  | DIFFERENCE:: 0.00
INVESTOR ID:: 62  | ACTUAL WALLET AMOUNT:: 160.41  | WALLET AMOUNT:: 160.41  | DIFFERENCE:: 0.00
INVESTOR ID:: 63  | ACTUAL WALLET AMOUNT:: 64.74  | WALLET AMOUNT:: 64.74  | DIFFERENCE:: 0.00
INVESTOR ID:: 64  | ACTUAL WALLET AMOUNT:: 37.02  | WALLET AMOUNT:: 37.02  | DIFFERENCE:: 0.00
INVESTOR ID:: 65  | ACTUAL WALLET AMOUNT:: 222.46  | WALLET AMOUNT:: 217.23  | DIFFERENCE:: 5.23
INVESTOR ID:: 66  | ACTUAL WALLET AMOUNT:: 403.87  | WALLET AMOUNT:: 12.87  | DIFFERENCE:: 391.00
INVESTOR ID:: 67  | ACTUAL WALLET AMOUNT:: 48.96  | WALLET AMOUNT:: 48.96  | DIFFERENCE:: 0.00
